restaurant_id,name,category,zone,pricing_tier,avg_item_price_lkr,commission_rate,rating,total_reviews,is_active,onboarded_date,has_promoted_listing
R146,Campbell Group Bites,Rice & Curry,Colombo 5,Mid-range,700.21,0.238,4.3,4784,1,2026-02-02,1
R147,Gray-Patterson Eats,Burgers,Colombo 6,Mid-range,822.69,0.238,3.7,2332,1,2025-02-04,0
R148,Bradley Fischer and Jones Cafe,Indian,Ratmalana,Premium,1928.32,0.271,4.0,2240,1,2023-12-26,1
R149,Reid LLC House,Seafood,Colombo 1,Mid-range,490.7,0.227,4.3,3333,1,2024-07-26,0
R150,Green-Klein Kitchen,Sandwiches,Colombo 4,Budget,244.05,0.198,3.9,1339,1,2025-11-23,0
R151,Schmitt Scott and White Cafe,Burgers,Rajagiriya,Premium,984.17,0.278,4.5,457,1,2025-08-22,1
R152,Stevenson-Lin Bites,Beverages,Dehiwala,Premium,1607.27,0.284,4.5,4247,1,2024-11-16,0
R153,Phillips Inc Cafe,Beverages,Nugegoda,Mid-range,733.57,0.222,3.9,3287,0,2025-10-28,1
R154,Miller LLC House,Chinese,Kottawa,Budget,184.31,0.19,3.9,2737,1,2024-10-18,0
R155,Ingram-Simon Eats,Pizza,Colombo 7,Mid-range,666.29,0.232,4.2,4627,1,2024-07-26,0
R156,Stevens-Brown Bites,Rice & Curry,Colombo 7,Budget,154.69,0.217,3.6,2614,1,2024-05-13,0
R157,Frye Watts and Olson Bites,Kottu,Colombo 2,Premium,1548.05,0.318,5.0,1457,1,2025-01-24,0
R158,Swanson Martinez and Wilson House,Burgers,Colombo 7,Premium,2251.17,0.282,4.5,4874,1,2024-02-17,1
R159,Roach LLC House,Chinese,Colombo 6,Mid-range,789.56,0.224,3.7,984,1,2026-04-02,1
R160,Hill Callahan and Rivera House,Pizza,Colombo 4,Mid-range,451.4,0.233,4.3,1471,1,2024-05-23,0
R161,Daugherty Montgomery and Parker Kitchen,Pizza,Kottawa,Premium,1904.72,0.293,4.1,4668,1,2024-04-21,0
R162,Zimmerman-Lopez Cafe,Seafood,Battaramulla,Premium,2453.56,0.286,4.6,3652,1,2024-03-15,0
R163,Shepherd PLC House,Indian,Colombo 1,Mid-range,575.97,0.224,4.4,3832,1,2025-02-25,1
R164,Sharp-Stone Kitchen,Burgers,Dehiwala,Mid-range,697.04,0.239,3.9,4804,1,2025-10-06,0
R165,Ramos-Reese Bites,Indian,Ratmalana,Budget,197.06,0.204,4.1,4157,1,2026-01-13,1
R166,Wiggins Inc House,Burgers,Nugegoda,Budget,311.53,0.182,3.9,3636,0,2026-05-07,0
R167,Tyler-Kelly Eats,Seafood,Colombo 6,Premium,2368.7,0.289,4.6,2821,1,2024-09-17,1
R168,Miller Dickerson and Brown House,Burgers,Colombo 6,Premium,1051.21,0.304,5.0,2377,1,2023-07-06,0
R169,Lewis PLC Eats,Seafood,Colombo 2,Premium,1832.38,0.277,4.3,2915,1,2024-01-06,0
R170,Jordan Ltd Bites,Pizza,Dehiwala,Premium,2034.13,0.274,4.2,4628,1,2025-12-01,0
R171,Jones Leon and Watkins Cafe,Burgers,Ratmalana,Budget,317.61,0.2,3.5,199,1,2024-07-08,1
R172,Gardner-Henson House,Beverages,Colombo 4,Budget,206.64,0.186,3.6,682,1,2026-04-10,0
R173,Mendoza Kennedy and Osborne Cafe,Sandwiches,Colombo 1,Premium,1959.09,0.314,4.4,1123,1,2025-12-24,1
R174,Gonzalez Sims and Jones Cafe,Pizza,Maharagama,Budget,259.42,0.196,3.9,1995,0,2024-11-02,0
R175,Sandoval-Little Bites,Chinese,Nugegoda,Premium,1282.67,0.318,4.5,3892,0,2024-05-21,1
R176,Adams-Ray Cafe,Beverages,Colombo 8,Premium,2131.1,0.309,4.6,4169,1,2023-08-18,0
R177,Bender Inc Cafe,Pizza,Battaramulla,Budget,212.5,0.206,3.8,3090,1,2024-05-05,1
R178,Castillo Turner and Torres Kitchen,Kottu,Colombo 2,Premium,2120.99,0.284,4.8,4255,1,2024-08-02,0
R179,Ochoa-Harrison Bites,Seafood,Rajagiriya,Budget,156.67,0.182,3.7,4162,1,2025-05-09,0
R180,Burnett Holland and Ingram House,Chinese,Colombo 1,Budget,229.67,0.184,4.6,2796,1,2024-09-30,1
R181,Diaz Ltd Bites,Pizza,Kottawa,Mid-range,752.77,0.242,4.3,93,0,2025-10-23,1
R182,Sellers-Lyons Eats,Sandwiches,Maharagama,Budget,302.22,0.197,3.5,2410,1,2026-02-27,1
R183,Olson-Peterson Bites,Indian,Colombo 8,Budget,165.7,0.213,3.5,4144,1,2026-02-03,1
R184,Dodson LLC Cafe,Chinese,Maharagama,Premium,1129.72,0.291,4.5,2940,1,2025-10-29,0
R185,Ellis PLC Kitchen,Sandwiches,Colombo 6,Premium,1008.29,0.296,4.3,4206,1,2024-03-15,0
R186,Flynn Montoya and Dougherty Bites,Beverages,Colombo 1,Budget,308.92,0.219,4.0,2127,1,2025-07-25,0
R187,Reyes-Castillo House,Chinese,Maharagama,Budget,314.28,0.184,3.9,4816,1,2025-09-19,1
R188,Rogers LLC House,Sandwiches,Colombo 6,Budget,353.38,0.187,3.8,3856,0,2024-08-08,0
R189,Thomas-Bishop Eats,Burgers,Maharagama,Budget,344.05,0.198,3.5,2453,1,2025-07-28,0
R190,Parsons LLC House,Kottu,Nugegoda,Budget,249.56,0.213,3.3,3928,1,2025-08-22,0
R191,Velazquez Atkinson and Williams House,Seafood,Battaramulla,Budget,345.21,0.215,3.7,2769,1,2023-11-27,0
R192,Watkins Group Bites,Beverages,Rajagiriya,Mid-range,878.24,0.237,4.4,1580,1,2023-11-01,0
R193,Proctor-Garrison House,Burgers,Maharagama,Premium,1579.2,0.292,4.5,1528,1,2025-06-01,1
R194,Juarez Inc House,Kottu,Colombo 5,Budget,261.48,0.209,3.4,1415,1,2025-03-12,0
R195,Duffy-Morris House,Indian,Colombo 7,Budget,218.64,0.219,3.9,519,1,2024-02-16,0
R196,Douglas Anderson and Martin Cafe,Pizza,Colombo 1,Mid-range,471.39,0.25,4.2,3639,1,2025-10-22,1
R197,White Huff and Valdez House,Seafood,Colombo 7,Premium,2419.15,0.272,4.1,1306,1,2024-09-02,0
R198,Lowery Smith and Davis Bites,Burgers,Dehiwala,Mid-range,468.85,0.238,4.1,2625,1,2024-10-18,1
R199,Ward Inc Kitchen,Pizza,Colombo 8,Budget,279.44,0.217,3.8,1014,1,2024-10-01,1
R200,Vaughan Pacheco and Taylor Eats,Indian,Colombo 5,Mid-range,746.99,0.27,3.8,1689,1,2026-03-07,0
